frame_id,location_id,timestamp,face_id
FR600000,LAB_101,2025-09-01T12:29:00Z,
FR600001,LIB_ENT,2025-09-04T10:27:00Z,
FR600002,ADMIN_LOBBY,2025-09-06T05:36:00Z,F102064
FR600003,AUDITORIUM,2025-09-16T03:05:00Z,F100578
FR600004,ADMIN_LOBBY,2025-08-30T22:18:00Z,
FR600005,LIB_ENT,2025-09-08T02:27:00Z,
FR600006,GYM,2025-09-25T12:53:00Z,
FR600007,GYM,2025-09-25T14:41:00Z,F102016
FR600008,LAB_305,2025-09-19T20:46:00Z,
FR600009,LAB_305,2025-09-10T17:02:00Z,F104365
FR600010,HOSTEL_GATE,2025-09-17T01:44:00Z,
FR600011,HOSTEL_GATE,2025-09-13T19:14:00Z,
FR600012,LAB_305,2025-08-30T07:57:00Z,F102129
FR600013,LAB_101,2025-09-01T14:46:00Z,F103277
FR600014,LIB_ENT,2025-09-12T06:34:00Z,F101452
FR600015,CAF_01,2025-09-03T20:27:00Z,
FR600016,LAB_305,2025-08-31T21:56:00Z,F102376
FR600017,CAF_01,2025-09-08T13:43:00Z,F101404
FR600018,LAB_101,2025-09-14T18:44:00Z,F103172
FR600019,ADMIN_LOBBY,2025-09-10T19:30:00Z,F102439
FR600020,LIB_ENT,2025-09-07T00:30:00Z,
FR600021,HOSTEL_GATE,2025-08-28T23:00:00Z,F100941
FR600022,AUDITORIUM,2025-08-31T21:06:00Z,F101747
FR600023,LAB_101,2025-09-05T17:59:00Z,F100252
FR600024,LAB_101,2025-09-19T14:34:00Z,
FR600025,AUDITORIUM,2025-09-22T09:44:00Z,F103886
FR600026,ADMIN_LOBBY,2025-09-13T19:09:00Z,F102636
FR600027,LAB_101,2025-09-08T19:57:00Z,
FR600028,HOSTEL_GATE,2025-09-16T15:19:00Z,
FR600029,CAF_01,2025-08-29T04:49:00Z,F101540
FR600030,HOSTEL_GATE,2025-09-09T07:52:00Z,
FR600031,LAB_101,2025-09-11T15:59:00Z,F102466
FR600032,GYM,2025-08-28T11:01:00Z,
FR600033,LAB_305,2025-08-29T23:30:00Z,F104934
FR600034,GYM,2025-09-10T19:02:00Z,
FR600035,LIB_ENT,2025-09-05T02:54:00Z,F101166
FR600036,ADMIN_LOBBY,2025-08-30T05:16:00Z,
FR600037,AUDITORIUM,2025-09-18T07:10:00Z,F100390
FR600038,LAB_305,2025-08-28T17:29:00Z,F101806
FR600039,LAB_305,2025-09-01T01:48:00Z,F103776
FR600040,LAB_101,2025-09-18T22:21:00Z,
FR600041,ADMIN_LOBBY,2025-09-12T21:52:00Z,
FR600042,ADMIN_LOBBY,2025-09-23T02:32:00Z,
FR600043,GYM,2025-09-12T07:45:00Z,F102199
FR600044,AUDITORIUM,2025-09-11T03:19:00Z,F103122
FR600045,LIB_ENT,2025-09-21T17:20:00Z,F100418
FR600046,LIB_ENT,2025-09-15T07:49:00Z,
FR600047,ADMIN_LOBBY,2025-09-14T04:52:00Z,
FR600048,HOSTEL_GATE,2025-09-23T18:34:00Z,F104926
FR600049,HOSTEL_GATE,2025-09-07T10:04:00Z,F100474
FR600050,GYM,2025-09-04T14:22:00Z,F100409
FR600051,CAF_01,2025-09-17T14:05:00Z,
FR600052,AUDITORIUM,2025-09-24T09:05:00Z,
FR600053,HOSTEL_GATE,2025-09-13T10:18:00Z,F101366
FR600054,LAB_305,2025-09-08T20:54:00Z,F102271
FR600055,LAB_305,2025-09-23T00:38:00Z,F103044
FR600056,AUDITORIUM,2025-09-22T07:43:00Z,F103881
FR600057,HOSTEL_GATE,2025-09-11T07:05:00Z,F102583
FR600058,LIB_ENT,2025-09-24T00:40:00Z,
FR600059,GYM,2025-09-01T22:37:00Z,F100097
FR600060,AUDITORIUM,2025-09-13T19:28:00Z,
FR600061,LAB_305,2025-08-28T05:58:00Z,
FR600062,AUDITORIUM,2025-08-31T07:48:00Z,
FR600063,LIB_ENT,2025-08-30T13:47:00Z,
