booking_id,entity_id,room_id,start_time,end_time,attended (YES/NO)
BKG300000,E105347,SEM_01,2025-09-05T16:46:00Z,2025-09-05T18:30:00Z,YES
BKG300001,E106333,LAB_305,2025-08-30T16:50:00Z,2025-08-30T19:19:00Z,YES
BKG300002,E101593,AUDITORIUM,2025-09-05T03:46:00Z,2025-09-05T04:29:00Z,NO
BKG300003,E104512,LAB_101,2025-09-15T04:17:00Z,2025-09-15T04:52:00Z,YES
BKG300004,E100694,ROOM_A2,2025-09-17T19:25:00Z,2025-09-17T20:02:00Z,YES
BKG300005,E103290,SEM_01,2025-09-04T09:33:00Z,2025-09-04T12:25:00Z,YES
BKG300006,E101173,LAB_102,2025-09-22T22:39:00Z,2025-09-22T23:56:00Z,NO
BKG300007,E103499,LAB_101,2025-09-23T17:47:00Z,2025-09-23T20:47:00Z,YES
BKG300008,E105686,AUDITORIUM,2025-09-06T07:56:00Z,2025-09-06T09:18:00Z,YES
BKG300009,E103436,AUDITORIUM,2025-09-21T20:19:00Z,2025-09-21T23:13:00Z,YES
BKG300010,E102460,AUDITORIUM,2025-09-16T16:33:00Z,2025-09-16T17:43:00Z,NO
BKG300011,E102645,LAB_305,2025-09-11T08:43:00Z,2025-09-11T11:18:00Z,NO
BKG300012,E105054,LAB_305,2025-09-19T23:55:00Z,2025-09-20T01:07:00Z,YES
BKG300013,E100927,LAB_102,2025-09-11T12:58:00Z,2025-09-11T15:20:00Z,YES
BKG300014,E106438,LAB_305,2025-09-08T11:20:00Z,2025-09-08T12:51:00Z,YES
BKG300015,E103753,LAB_102,2025-08-31T17:37:00Z,2025-08-31T19:54:00Z,NO
BKG300016,E100755,SEM_01,2025-09-04T00:34:00Z,2025-09-04T03:06:00Z,YES
BKG300017,E101532,AUDITORIUM,2025-09-04T17:36:00Z,2025-09-04T20:16:00Z,YES
BKG300018,E103276,LAB_102,2025-09-12T16:09:00Z,2025-09-12T18:23:00Z,NO
BKG300019,E106961,ROOM_A2,2025-09-16T10:40:00Z,2025-09-16T13:31:00Z,YES
BKG300020,E100036,LAB_101,2025-09-23T22:48:00Z,2025-09-24T01:47:00Z,YES
BKG300021,E102425,AUDITORIUM,2025-09-05T16:46:00Z,2025-09-05T18:20:00Z,YES
BKG300022,E106034,LAB_305,2025-09-19T23:00:00Z,2025-09-19T23:47:00Z,NO
BKG300023,E101148,SEM_01,2025-08-27T09:08:00Z,2025-08-27T11:02:00Z,NO
BKG300024,E105676,LAB_101,2025-09-17T20:18:00Z,2025-09-17T22:11:00Z,YES
BKG300025,E105948,ROOM_A1,2025-09-02T09:55:00Z,2025-09-02T10:37:00Z,YES
BKG300026,E103186,AUDITORIUM,2025-09-14T21:21:00Z,2025-09-14T22:58:00Z,NO
BKG300027,E104077,AUDITORIUM,2025-09-03T13:34:00Z,2025-09-03T14:29:00Z,YES
BKG300028,E105502,LAB_102,2025-09-03T10:45:00Z,2025-09-03T11:39:00Z,YES
BKG300029,E104899,ROOM_A2,2025-09-06T06:40:00Z,2025-09-06T07:18:00Z,YES
BKG300030,E106315,SEM_01,2025-09-24T13:58:00Z,2025-09-24T15:55:00Z,NO
BKG300031,E105208,LAB_102,2025-09-22T10:57:00Z,2025-09-22T13:27:00Z,YES
BKG300032,E104330,LAB_101,2025-09-21T19:40:00Z,2025-09-21T21:47:00Z,YES
BKG300033,E100211,LAB_305,2025-08-28T23:45:00Z,2025-08-29T00:40:00Z,NO
BKG300034,E105728,LAB_101,2025-08-29T03:59:00Z,2025-08-29T05:56:00Z,YES
BKG300035,E104801,LAB_101,2025-09-09T13:07:00Z,2025-09-09T14:55:00Z,YES
BKG300036,E101642,LAB_305,2025-09-08T08:53:00Z,2025-09-08T11:14:00Z,YES
BKG300037,E100685,LAB_305,2025-09-24T10:41:00Z,2025-09-24T11:32:00Z,NO
BKG300038,E100783,ROOM_A2,2025-09-17T17:49:00Z,2025-09-17T18:21:00Z,YES
BKG300039,E104602,LAB_305,2025-08-28T12:54:00Z,2025-08-28T14:41:00Z,YES
BKG300040,E100527,LAB_102,2025-09-02T10:16:00Z,2025-09-02T11:48:00Z,NO
BKG300041,E102584,LAB_305,2025-09-15T08:28:00Z,2025-09-15T11:26:00Z,YES
BKG300042,E105569,ROOM_A1,2025-09-23T19:17:00Z,2025-09-23T20:07:00Z,YES
BKG300043,E101940,ROOM_A1,2025-09-15T13:38:00Z,2025-09-15T15:25:00Z,YES
BKG300044,E101122,LAB_102,2025-09-06T03:33:00Z,2025-09-06T04:59:00Z,NO
BKG300045,E101596,ROOM_A1,2025-08-31T11:32:00Z,2025-08-31T13:00:00Z,YES
BKG300046,E100090,LAB_102,2025-09-13T23:47:00Z,2025-09-14T02:32:00Z,YES
BKG300047,E105155,AUDITORIUM,2025-09-06T06:45:00Z,2025-09-06T07:26:00Z,NO
BKG300048,E103505,ROOM_A1,2025-08-30T22:23:00Z,2025-08-30T23:32:00Z,NO
BKG300049,E105328,AUDITORIUM,2025-09-06T22:37:00Z,2025-09-07T01:25:00Z,YES
BKG300050,E102339,AUDITORIUM,2025-09-19T10:00:00Z,2025-09-19T12:13:00Z,YES
BKG300051,E105395,LAB_101,2025-09-12T09:35:00Z,2025-09-12T11:08:00Z,NO
BKG300052,E102094,LAB_102,2025-08-31T15:10:00Z,2025-08-31T16:17:00Z,YES
BKG300053,E104734,SEM_01,2025-08-27T10:42:00Z,2025-08-27T12:19:00Z,YES
BKG300054,E102562,ROOM_A1,2025-09-15T04:52:00Z,2025-09-15T07:31:00Z,YES
BKG300055,E105154,LAB_305,2025-09-24T03:53:00Z,2025-09-24T05:39:00Z,YES
BKG300056,E105786,LAB_102,2025-09-16T02:33:00Z,2025-09-16T03:24:00Z,NO
BKG300057,E105947,LAB_101,2025-08-30T22:12:00Z,2025-08-30T23:26:00Z,YES
BKG300058,E100583,LAB_101,2025-09-22T14:03:00Z,2025-09-22T16:36:00Z,YES
BKG300059,E101211,LAB_305,2025-09-12T06:21:00Z,2025-09-12T07:55:00Z,NO
BKG300060,E104775,LAB_102,2025-09-07T09:32:00Z,2025-09-07T12:25:00Z,YES
BKG300061,E106375,ROOM_A2,2025-09-25T06:09:00Z,2025-09-25T07:51:00Z,NO
BKG300062,E106917,LAB_305,2025-09-21T19:57:00Z,2025-09-21T20:56:00Z,YES
BKG300063,E105892,LAB_101,2025-09-14T04:21:00Z,2025-09-14T06:42:00Z,YES
BKG300064,E105916,LAB_102,2025-09-13T08:41:00Z,2025-09-13T11:40:00Z,YES
BKG300065,E102119,LAB_102,2025-09-18T15:24:00Z,2025-09-18T16:12:00Z,YES
BKG300066,E102261,SEM_01,2025-09-07T22:01:00Z,2025-09-08T00:43:00Z,YES
BKG300067,E102141,LAB_101,2025-09-09T20:06:00Z,2025-09-09T22:23:00Z,NO
BKG300068,E100654,LAB_305,2025-09-09T23:13:00Z,2025-09-10T00:43:00Z,YES
BKG300069,E104155,SEM_01,2025-08-29T22:17:00Z,2025-08-29T23:02:00Z,YES
BKG300070,E104415,LAB_102,2025-09-11T19:09:00Z,2025-09-11T21:43:00Z,NO
BKG300071,E100802,ROOM_A2,2025-09-23T23:59:00Z,2025-09-24T02:12:00Z,YES
BKG300072,E101499,LAB_305,2025-09-11T06:15:00Z,2025-09-11T08:14:00Z,YES
BKG300073,E106512,LAB_102,2025-09-03T06:59:00Z,2025-09-03T08:49:00Z,YES
BKG300074,E106803,ROOM_A1,2025-09-04T22:05:00Z,2025-09-04T23:33:00Z,NO
BKG300075,E104000,LAB_101,2025-09-11T07:22:00Z,2025-09-11T08:12:00Z,YES
BKG300076,E103787,ROOM_A2,2025-09-12T13:12:00Z,2025-09-12T16:00:00Z,NO
BKG300077,E100313,AUDITORIUM,2025-09-10T02:14:00Z,2025-09-10T02:46:00Z,YES
BKG300078,E104451,LAB_305,2025-09-04T04:26:00Z,2025-09-04T04:58:00Z,YES
BKG300079,E106060,ROOM_A1,2025-09-01T20:29:00Z,2025-09-01T21:28:00Z,YES
BKG300080,E100570,LAB_305,2025-09-06T15:52:00Z,2025-09-06T17:53:00Z,NO
BKG300081,E105039,LAB_305,2025-09-20T14:59:00Z,2025-09-20T17:12:00Z,NO
BKG300082,E104063,ROOM_A1,2025-09-04T07:17:00Z,2025-09-04T07:50:00Z,YES
BKG300083,E101175,LAB_102,2025-09-15T13:28:00Z,2025-09-15T16:14:00Z,YES
BKG300084,E106339,LAB_305,2025-08-30T03:43:00Z,2025-08-30T05:27:00Z,YES
BKG300085,E100920,LAB_101,2025-09-09T09:02:00Z,2025-09-09T10:02:00Z,YES
BKG300086,E102907,LAB_101,2025-08-31T13:05:00Z,2025-08-31T14:22:00Z,YES
BKG300087,E102286,ROOM_A2,2025-09-04T20:20:00Z,2025-09-04T22:33:00Z,YES
BKG300088,E101844,AUDITORIUM,2025-09-04T21:49:00Z,2025-09-04T22:41:00Z,YES
